layer,key,shape,numel,norm_a,norm_b,norm_ratio,mean_a,mean_b,mean_ratio,std_a,std_b,std_ratio,zero_frac_a,zero_frac_b,cos_sim,rel_l2_err,mean_rel_diff,max_rel_diff,pearson,max_abs_diff,mean_abs_diff,spearman,q01_abs_diff,q05_abs_diff,q50_abs_diff,q95_abs_diff,q99_abs_diff
32,model.layers.32.mlp.gate_proj.weight,"(14336, 5120)",73400320,83.81497955322266,83.7624282836914,1.0006273984909058,-3.1282786494557513e-06,-3.2699210805731127e-06,-3128278.75,0.009783013723790646,0.009776879101991653,1.0006275177001953,0.0,0.0,0.9993483424186707,0.036097344011068344,0.4988454580307007,3625916.0,0.9993482232093811,0.003326416015625,0.0002773847954813391,0.9992587566375732,0.0,0.0,0.000244140625,0.000701904296875,0.0009613037109375
32,model.layers.32.mlp.up_proj.weight,"(14336, 5120)",73400320,80.68798065185547,80.64279174804688,1.0005604028701782,6.612029324060131e-08,8.11306151149438e-08,0.8149857521057129,0.00941802654415369,0.009412750601768494,1.0005605220794678,0.0,0.0,0.9994271993637085,0.03384317085146904,0.397421270608902,2765618.25,0.999427080154419,0.00251007080078125,0.00025254281354136765,0.9993594884872437,0.0,0.0,0.000213623046875,0.0006103515625,0.0008492469787597656
32,model.layers.32.post_attention_layernorm.weight,"(5120,)",5120,89.82647705078125,89.82647705078125,1.0,1.2505654096603394,1.2505654096603394,1.0,0.10964998602867126,0.10964998602867126,1.0,0.0,0.0,1.0000001192092896,0.0,0.0,0.0,0.9999999403953552,0.0,0.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0
32,model.layers.32.self_attn.k_proj.weight,"(1024, 5120)",5242880,23.188966751098633,23.179323196411133,1.0004160404205322,-3.1799188491277164e-06,-2.9729212656093296e-06,-3179918.75,0.010127364657819271,0.010123152285814285,1.0004161596298218,0.0,0.0,0.9995263814926147,0.030766969546675682,0.39320358633995056,230072.1875,0.9995266199111938,0.0036773681640625,0.00024378058151341975,0.999366283416748,0.0,0.0,0.0001983642578125,0.0006103515625,0.0008544921875
32,model.layers.32.self_attn.o_proj.weight,"(5120, 4096)",20971520,47.14204025268555,47.11860275268555,1.0004974603652954,-2.2725819235347444e-06,-2.2827643988421187e-06,-2272582.0,0.010294219478964806,0.010289100930094719,1.0004974603652954,0.0,0.0,0.9994649291038513,0.03270657733082771,0.362378865480423,334106.125,0.9994650483131409,0.002410888671875,0.000266946735791862,0.999385416507721,0.0,0.0,0.000244140625,0.00067138671875,0.0008697509765625
32,model.layers.32.self_attn.q_proj.weight,"(4096, 5120)",20971520,44.424957275390625,44.40078353881836,1.0005444288253784,-3.1346696687251097e-06,-3.0228479772631545e-06,-3134669.75,0.009700899943709373,0.009695621207356453,1.0005444288253784,0.0,0.0,0.9994420409202576,0.03340078517794609,0.45308825373649597,885089.375,0.9994420409202576,0.00323486328125,0.00025454259593971074,0.9993078708648682,0.0,0.0,0.000213623046875,0.000640869140625,0.0008544921875
32,model.layers.32.self_attn.v_proj.weight,"(1024, 5120)",5242880,28.114152908325195,28.10471534729004,1.0003358125686646,3.4447250527591677e-06,3.486403102215263e-06,0.9880455732345581,0.012278350070118904,0.01227422896772623,1.000335693359375,0.0,0.0,0.999657928943634,0.026155570521950722,0.2552841603755951,68023.7109375,0.9996578693389893,0.0030007362365722656,0.00024919488350860775,0.9995967149734497,0.0,0.0,0.000213623046875,0.0006256103515625,0.000885009765625
33,model.layers.33.input_layernorm.weight,"(5120,)",5120,84.88372802734375,84.88372802734375,1.0,1.1709579229354858,1.1709579229354858,1.0,0.19008533656597137,0.19008533656597137,1.0,0.0,0.0,1.0000001192092896,0.0,0.0,0.0,1.0,0.0,0.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0
33,model.layers.33.mlp.down_proj.weight,"(5120, 14336)",73400320,81.34391784667969,81.32598876953125,1.0002204179763794,2.147849187394968e-07,2.1370443903379055e-07,1.0050559043884277,0.009494587779045105,0.00949249416589737,1.000220537185669,0.0,0.0,0.9997760057449341,0.02116803452372551,0.5425853133201599,15007745.0,0.9997758865356445,0.00177001953125,0.00015872239600867033,0.9997470378875732,0.0,0.0,0.0001220703125,0.000396728515625,0.000518798828125
33,model.layers.33.mlp.gate_proj.weight,"(14336, 5120)",73400320,83.03485870361328,82.98098754882812,1.0006492137908936,-7.584526997561625e-07,-7.044731091809808e-07,-758452.6875,0.009691957384347916,0.009685669094324112,1.0006492137908936,0.0,0.0,0.9993208050727844,0.03685202822089195,0.4539588689804077,2064385.0,0.9993206858634949,0.0035400390625,0.0002802314702421427,0.9992261528968811,0.0,1.9073486328125e-06,0.000244140625,0.000701904296875,0.0009765625
